,date,like,view,tag,content
38,2022-06-03,좋아요 66개,0,"['#범죄도시2', '#멘무샤', '#아침부터졸리네', '#천안맛집', '#카페', '#카페스타그램', '#먹스타그램', '#야식', '#다이어트', '#데일리', '#daily', '#소통', '#선팔하면맞팔', '#맞팔', '#선팔', '#육아스타그램', '#육아그램', '#육아소통', '#아기스타그램', '#럽스타그램', '#아들스타그램', '#아들바보', '#좋반', '#jmt', '#맛스타그램', '#맛집', '#천안', '#아기', '#천안아기']",내오징어다뺏어먹고콜라안먹는다해놓고내꺼다뺏어먹고정식안먹는다해놓고내돈까스다먹는놈#범죄도시2 #멘무샤 #아침부터졸리네 #천안맛집 #카페 #카페스타그램 #먹스타그램 #야식 #다이어트 #데일리 #daily #소통 #선팔하면맞팔 #맞팔 #선팔 #육아스타그램 #육아그램 #육아소통 #아기스타그램 #럽스타그램 #아들스타그램 #아들바보 #좋반 #jmt #맛스타그램 #맛집 #천안 #아기 #천안아기
39,2022-06-03,0,조회 410회,"['#범죄도시2', '#손석구', '#sonsukku', '#sonseokku', '#sonseokku_fc', '#myliberationnotes', '#theoutlaws2', '#theroundup', '#나의해방일지']",*😁one more time with @sonsukku ⚘️🥰📽🔥👍🎞promoting #범죄도시2 TheRoundUp movie.📽@sonsukku 🌻 #손석구 #sonsukku#sonseokku#sonseokku_fc#myliberationnotes #theoutlaws2 #theroundup#나의해방일지 cr. supershinestudio /edit by me
40,2022-06-03,좋아요 101개,0,"['#범죄도시2', '#최귀화', '#배우', '#애드리브', '#영화촬영', '#영화', '#영화추천', '#영화순위', '#영화스타그램', '#무비스타그램', '#무비', '#movie']","'범죄도시2' 전일만 반장이 고장난 총 쏘는 신, 알고 보니 애드리브였다#범죄도시2 #최귀화 #배우 #애드리브 #영화촬영 #영화 #영화추천 #영화순위 #영화스타그램 #무비스타그램 #무비 #movie"
41,2022-06-03,좋아요 2개,0,"['#다이어리', '#다이어리꾸미기', '#스티커', '#씰스티커', '#영화', '#범죄도시2', '#구씨', '#너무잔인한', '#초면인데👉👈']",#다이어리 #다이어리꾸미기 #스티커 #씰스티커 #영화 #범죄도시2 #구씨 #너무잔인한 #초면인데👉👈 --섹시한 구씨 보러 갔다가 잔뜩 팝콘으로 눈만 가리고 왔다지요..영화 시작전에 팝콘을 반정도 먹었는뎅 그때 안먹었으면 그냥 영 못먹을뻔했당 껄껄--그래도 뭔가 그동안 많은걸 했넹 요즘은 일기를 안써놓으면 뭘하고 살았는지 금방 잊어버리곤한당--밀렸지만 일기는 쓰고 보면 재밌당ㅋㅋㅋ 물론 자세한 이야기는 다른 일기장에 끄적이지만 무튼 기억을 더듬어 보는건 참 좋은 일이야!
42,2022-06-03,0,조회 69회,"['#마동석_요가링', '#마동석_도전', '#요가링', '#팔에들어간다?', '#팔에안들어간다?', '#마동석_요가링_씨름중', '#안들어간다', '#마동석', '#범죄도시2', '#손석구', '#윤계상', '#빌런', '#유머스타그램', '#유머저장소', '#재미', '#웃긴영상', '#madongseok', '#criminalcity', '#kmovie', '#Eternals', '#Avengers', '#heroes', '#donlee', '#길가메시', '#gilgameshi']",#마동석_요가링 #마동석_도전#요가링 용도가 종아리 아닌가? ㅋㅋ#팔에들어간다? #팔에안들어간다?#마동석_요가링_씨름중 ㅋle___monan그냥... #안들어간다 !!!ㅋㅋㅋ요가링은 ㅋㅋ 다른분께 양보하세요.#마동석 오늘자 어제자 #범죄도시2 #손석구 #윤계상 #빌런 #유머스타그램 #유머저장소 #재미 mz #웃긴영상#madongseok #criminalcity #kmovie #Eternals #Avengers #heroes #donlee #길가메시 #gilgameshi
43,2022-06-03,좋아요 24개,0,"['#손석구', '#범죄도시2', '#무대인사', '#하트', '#손하트', '#귀여워', '#백점만점', '#여심', '#설렘', '#짤', '#유머', '#유머스타그램', '#유머저장소', '#예능', '#좋반', '#좋아요반사', '#좋아요', '#팔로우', '#꿀잼', '#짤방', '#웃긴영상', '#웃긴짤']",즐거운 하루를 원하시면 @lululala.lime———————————————————하트도 이캐이캐♥️♥️ 진짜 미친다 ㅠㅠㅠㅠㅠㅠ... #손석구 #범죄도시2#무대인사#하트#손하트#귀여워#백점만점#여심#설렘#짤#유머 #유머스타그램 #유머저장소 #예능 #좋반 #좋아요반사 #좋아요 #팔로우 #꿀잼#짤방#웃긴영상#웃긴짤
44,2022-06-03,좋아요 36개,0,"['#범죄도시2둘이서', '#범죄도시', '#영화관데이트', '#스타벅스', '#돌체라떼', '#죤맛탱', '#취향저격', '#금요일', '#심쿵이네', '#평일일상']","#범죄도시2둘이서 간만에 영화관나들이🍿나는 로코 취향이지만,주변에서 하도 재미있다해서 본일편보다 확실히 웃긴듯..?하지만, 중간중간 눈감은🙉🙈⠀⠀⠀⠀#범죄도시 #영화관데이트 #스타벅스 #돌체라떼 #죤맛탱 #취향저격 #금요일 #심쿵이네 #평일일상"
45,2022-06-03,좋아요 10개,0,"['#범죄도시', '#범죄도시2', '#theroundup', '#마동석', '#마블리', '#마석도', '#일러스트@donlee']",범죄도시 2 / The roundup (2022)#범죄도시 #범죄도시2 #theroundup #마동석 #마블리 #마석도 #일러스트@donlee
46,2022-06-03,좋아요 3개,0,"['#간만에데이트', '#범죄도시2', '#재미지다']",🎬#간만에데이트#범죄도시2#재미지다
47,2022-06-03,0,조회 179회,"['#손석구씨', '#코찡긋', '#천만배우', '#범죄도시2', '#강해상', '#손석구', '#구씨', '#손석구배우님', '#천만가즈아', '#천만배우', '#범죄도시2무대인사', '#손석구무대인사']",😆.#손석구씨 #코찡긋 커엽🤭#천만배우 가봅시다🙏🏻.#범죄도시2 #강해상 #손석구 #구씨#손석구배우님 #천만가즈아 #천만배우#범죄도시2무대인사 #손석구무대인사
48,2022-06-03,0,조회 127회,"['#볼하트', '#손석구', '#범죄도시2', '#무대인사']",🥔배우님께서 #볼하트 애교 +1 습득하셨습니다방금 배워놓구 너무 잘하심. 해놓구 부끄러운지 찡긋😆웃는거 귀여워ㅓㅓㅓ어어어 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ#손석구 #범죄도시2 #무대인사 @sonsukku
49,2022-06-03,좋아요 4개,0,"['#5세딸램💕', '#범죄도시2', '#햄보케❤️', '#지금은하원후미술', '#다른세상에온듯', '#육아맘', '#육아기록', '#육아소통']",박서우💕생후1502일49개월11일오늘 같은이런날이 오긴 오는 구낭🤭서우 아빠차로 유치원 부지런히 등원시켜 드리고~~~둘이 백년만에 조조영화#5세딸램💕 #범죄도시2 조조영화#햄보케❤️#지금은하원후미술#다른세상에온듯 #육아맘#육아기록#육아소통
50,2022-06-03,좋아요 28개,0,"['#범죄도시2', '#영화추천', '#이시아메가박스', '#부부스타그램', '#여기서행복할것', '#데이트']",오랜만영화보기 #범죄도시2 #영화추천 #이시아메가박스 #부부스타그램 #여기서행복할것 #데이트
51,2022-06-03,좋아요 54개,0,[],"<만 원짜리 콜라> 영화를 보기로 했다.일상이라는 걸 실감한다.마눌님이 티켓박스에서 예약을 한다. 메가박스의 키오스크 앞에 섰다.마눌님과 팝콘을 고르면서 실랑이를 한다.팝콘 R 5,500원 L 6,000원 콜라 1잔 3,000원 본인은 안 먹을 거니까 내 것만 사란다.팝콘 R + 콜라 1 = 8,500원그.런.데. 콤보로 사면 팝콘 L과 콜라 2잔이 9,000 원이다. 가격 책정이 어이없다. 😤마눌님은 8,500원을 주장한다.나는 500원 더 내고 콤보를 사서 남으면 버리자는 입장이다.티격태격한다. 내가 이겼다.1,000원 더 내고 허니버터 팝콘을 선택했다. 늘 이런 식으로 의견이 안 맞는다.제주에서는 ""한 달 살기 하다가 이혼한다""라는 글도 적었다. (적어 놓기만 했다. 진짜 하자고 하면 내가 손해다)서로 잘 넘기면서 산다.지난 27년 동안 싸운 기억이 없다.이렇게 안 맞는데.... 이유는 한 사람이 져 준다.끝까지 주장하지 않으니 갈등은 있지만 전쟁은 없다. ☺️상영관인 8관으로 갔다.어라? 영화가 한창 상영 중이다.화장실 문을 열었는데 앉아 있는(?) 사람을 확인하고 놀라서 물러나는 모양이 되었다.시간 확인, 상영관 확인. 틀림없다.게다가 우리 뒤를 따라 들어오는 커플도 있다.잠시 어리둥절했다. ""어머머머~ 나 미쳤나 봐""아이유의 3단 고음이 터진다. CGV에 예매를 하고 메가박스로 간 거다.우리는 그렇다 치고 핸드폰 예매 화면을 확인하고 입장시켜준 알바생은 뭐지? 수많은 상황들이 머릿속을 스쳤다.필요 없다.중요한 건 달려야 한다. 남은 시간 5분.CGV까지는 200m영화는 볼 수 있다.문제는 콜라와 팝콘이다.들고 달려? 메가박스 거라고 음식물 반입 금지 시키면 어떡하지?마음은 급하고 생각은 정리 안 된다.중년의 부부는 응가 하고 싶은 강가지 꼴이다. 🤢메가박스 1층이다.건물 밖으로 나가기 전에 결정을 해야 한다.들고 달리자니 짐이다.CGV에서 제지 당하면 망신이다.팝콘을 버렸다.(지나가는 사람 아무라도 줄걸) 상영시간은 넘겼지만 예고편이라는 쉼표가 있다. 다행이다. 영화는 재미있다.마눌님의 콜라는 거의 그대로다.버렸다.한 잔에 만 원짜리를 마신 셈이다. 축소판 인생을 경험했다.영화는 건져서 다행이다. 😁"
52,2022-06-03,좋아요 5개,0,"['#영화관람', '#범죄도시2', '#마동석멋짐', '#우리둘이♡', '#오랜만', '#고덕cgv']",오늘 갑자기 쉬는날~~^^범죄도시2 보았다~주말에 못쉬는 남편~힝~~#영화관람 #범죄도시2 #마동석멋짐 #우리둘이♡ #오랜만 #고덕cgv
