,date,like,view,tag,content
0,2022-06-04,좋아요 0개,"조회 36,109회","['#범죄도시2', '#절찬상영중', '#마동석', '#손석구', '#최귀화', '#박지환', '#허동원', '#하준', '#정재광', '#DonLee', '#SONSukku']",800만 관객 여러분 감사합니다!!🙌팬데믹 이후 최고 흥행작 등극🙌🎊🎉🎊🎉🎊🎉폭죽을🎉 더 크게🎊 터트려🎊🎉🎊🎉#범죄도시2 #절찬상영중#마동석 #손석구 #최귀화 #박지환 #허동원 #하준 #정재광 #DonLee #SONSukku
1,2022-06-05,"좋아요 1,532개",조회 0회,"['#범죄도시2', '#마동석']",와  얼마만에  극장에서  팝콘 을  먹는거야 ㅎㅎ .마동석씨  원펀치  액션  너무  좋아요~~~.팬이에요 ~~..#범죄도시2 #마동석
2,2022-06-02,"좋아요 1,399개",조회 0회,"['#Repost', '#범죄도시2', '#절찬상영중', '#마동석', '#손석구', '#최귀화', '#허동원', '#하준', '#정재광', '#음문석', '#김찬형', '#DonLee', '#SONSukku*👍🔥...', '#범죄도시2', '#손석구', '#sonsukku', '#sonseokku', '#sonseokku_fc', '#myliberationnotes', '#theoutlaws2', '#theroundup', '#나의해방일지']","#Repost @aboentertainment ——진있다 멋짜,,꽉꽉 채운 상영관 위로 무지개도 뜸🌈비가 온 뒤라 그런가봐염.심장마'비'( ͡~ ͜ʖ ͡°)#범죄도시2 #절찬상영중#마동석 #손석구 #최귀화 #허동원 #하준 #정재광 #음문석 #김찬형 #DonLee #SONSukku*👍🔥...#범죄도시2 TheRoundUpIN THEATERS RIGHT NOW!@sonsukku 🌻 #손석구 #sonsukku#sonseokku#sonseokku_fc#myliberationnotes #theoutlaws2 #theroundup#나의해방일지"
3,2022-06-05,좋아요 0개,"조회 6,961회","['#음문석', '#마동석', '#손석구', '#범죄도시2']",2 version SakaBoomm!!!🤣😂❤️🥰aw so cute❤️🥰 •Let’s go!!! 1000만!!!•✨900만✨ 가보자고~~~ 무대인사ing석도랑 해상이랑 음칫~음칫!!!❤️🥰🥳🎬•#음문석 #마동석 #손석구 #범죄도시2
4,2022-06-02,"좋아요 14,782개",조회 0회,"['#빅바', '#컬투김태균', '#범죄도시2', '#천만가즈아', '#이홍기', '#마타하리', '#손석구', '#최귀화']",잠시후 컬투쇼 본방사수하실게여 오늘 어마어마 합니다 ...#빅바 #컬투김태균 #범죄도시2 #천만가즈아 #이홍기 #마타하리 #손석구 #최귀화
5,2022-06-04,좋아요 0개,"조회 5,857회","['#음문석', '#마동석', '#손석구', '#범죄도시2']",가자!!!!!❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥•Posted @withregram • @monsterz_sic ✨900만✨ 가보자고~~~ 무대인사ing석도랑 해상이랑 음칫~음칫!!!❤️🥰🥳🎬•#음문석 #마동석 #손석구 #범죄도시2
6,2022-06-04,"좋아요 2,095개",조회 0회,"['#손석구', '#범죄도시2', '#sonsukku', '#sonseokku', '#sonseokku_fc', '#myliberationnotes', '#theoutlaws2', '#theroundup', '#나의해방일지', '#Repost', '#범죄도시2', '#절찬상영중', '#손석구', '#SONSukku']",*💐🥰 @sonsukku 🌻 #손석구 🔥...#범죄도시2 TheRoundUp#sonsukku#sonseokku#sonseokku_fc#myliberationnotes #theoutlaws2 #theroundup#나의해방일지 #Repost @aboentertainment ——여러모로 유죄인간 손석구씨🌸와 염미..ㅈㅓㅇ..아니고 러블리 마블리💖#범죄도시2 #절찬상영중 #손석구 #SONSukku
7,2022-06-04,"좋아요 1,972개",조회 0회,"['#베트남', '#한국', '#범죄도시', '#범죄도시2', '#와', '#대박', '#몰랐음', '#클라스', '#마동석', '#구씨', '#대사', '#명대사', '#영화', '#존잼', '#꿀잼', '#미쳤다', '#비주얼', '#손석구', '#배우', '#유머', '#유머짤', '#좋아요', '#주말', '#룰루랄라', '#영화관']",((넘겨보세요💙)) @lululala_blue 와 다 속았어..🤭 ...#베트남 #한국 #범죄도시 #범죄도시2 #와 #대박 #몰랐음 #클라스 #마동석 #구씨 #대사 #명대사 #영화 #존잼 #꿀잼 #미쳤다 #비주얼 #손석구 #배우 #유머 #유머짤 #좋아요 #주말 #룰루랄라 #영화관
8,2022-06-04,"좋아요 4,162개",조회 0회,"['#범죄도시2', '#절찬상영중', '#마동석', '#손석구', '#최귀화', '#박지환', '#허동원', '#하준', '#정재광']",오늘 유난히 날이 좋다더니관객분들 사랑'해'가 떴더라구요🥳#범죄도시2 #절찬상영중#마동석 #손석구 #최귀화 #박지환 #허동원 #하준 #정재광
9,2022-06-06,좋아요 0개,조회 0회,"['#외출', '#수유역', '#쉑쉑버거', '#낮맥', '#고릴라거', '#감자튀김', '#마요네즈', '#제맛', '#벨기에스타일', '#벨기에스타일프렌치프라이', '#범죄도시2']",연휴 마지막날.. 간만에 #외출 #수유역#쉑쉑버거#낮맥#고릴라거#감자튀김 은 #마요네즈 에 찍어먹어야 #제맛 #벨기에스타일#벨기에스타일프렌치프라이 #범죄도시2 보러 가즈아~
10,2022-06-06,좋아요 0개,조회 0회,"['#정읍cgv', '#정읍생활', '#범죄도시2', '#아이폰6s', '#lgv50']",정읍일상...#정읍cgv #정읍생활 #범죄도시2 #아이폰6s #lgv50
11,2022-06-06,좋아요 1개,조회 0회,"['#범죄도시2', '#성박이네막회집', '#다온포차오늘도']",#범죄도시2 #성박이네막회집#다온포차오늘도 후회없이 힐링자칭 심수종.박인표.최션ㅋㅋ즐거운휴일
12,2022-06-06,좋아요 0개,조회 0회,['#범죄도시2'],몇년만에 영화관에서 팝콘이야 🥲#범죄도시2
13,2022-06-06,좋아요 2개,조회 0회,"['#명지CGV', '#범죄도시2', '#꿀잼', '#팝콘', '#오징어', '#명지맛집', '#오리한상', '#주말데이트', '#엄마랑데이트']",간만에 엄마와 데이뚜#명지CGV 리클라이너의자 덕분에 넘 편하넹~!#범죄도시2 #꿀잼#팝콘 #오징어 #명지맛집 #오리한상#주말데이트 #엄마랑데이트
14,2022-06-06,좋아요 0개,조회 0회,"['#오송자동차극장', '#범죄도시2']","결혼하고 5년만에 우연히 본 첫영화가 범죄도시1,2편 보러옴#오송자동차극장 #범죄도시2"
15,2022-06-06,좋아요 2개,조회 0회,"['#범죄도시2', '#여자친구가', '#어제']",#범죄도시2#여자친구가 사준 귀여운 판다 인형#어제 하루도 너무 재밌었당!!
16,2022-06-06,좋아요 2개,조회 0회,"['#범죄도시2', '#마동석', '#범죄도시', '#맥주', '#영화', '#cgv']",범죄도시~~존잼 ㅋㅋㅋ엊그제 맥주도먹고 좋앗다리~#범죄도시2 #마동석 #범죄도시 #맥주 #영화 #cgv
17,2022-06-06,좋아요 1개,조회 0회,"['#팝콘', '#범죄도시2']",몇년만 #팝콘 #범죄도시2
18,2022-06-06,좋아요 2개,조회 0회,['#범죄도시2'],강해상 입니다 ! #범죄도시2
19,2022-06-06,좋아요 2개,조회 0회,"['#목포평광cgv', '#범죄도시2', '#마동석']",#목포평광cgv #범죄도시2 #마동석
20,2022-06-06,좋아요 1개,조회 0회,"['#범죄도시2', '#영화', '#팝콘']",영화 야미 #범죄도시2 #영화 #팝콘
21,2022-06-06,좋아요 1개,조회 0회,"['#17주년', '#결혼기념일', '#6월5일', '#축하해', '#사랑해', '#고마워', '#딸둘맘', '#시간순삭', '#범죄도시2']",2005.6.5 ~ 2022.6.5결혼17주년 어느덧 18년차~악세서리를 그닥 안 좋아하는 와이프에게 이제 치장 좀하고 다니라며 목걸이 선물을 해 준 남편~아가때 이 사진이 너무 맘에 든다며 프린트 해 달라더니 사진과 함께 핸드메이드 꽃다발을해 준 작은 공주~아무것도 준비 못 했다고 한 큰 공주~괜찮다~ 아기가 빨리 안 생겨 기다리고 있던 엄빠에겐 니가 태어나준 자체가 큰 선물이니까~아주 오랜만에 영화 관람까지~비도 오고 흐린 날씨였지만 마음만은 맑았던 날^^#17주년 #결혼기념일 #6월5일 #축하해 #사랑해 #고마워 #딸둘맘#시간순삭 #범죄도시2
22,2022-06-06,좋아요 2개,조회 0회,"['#손석구배우', '#대세배우', '#멜로가체질', '#나의해방일지', '#구씨', '#강해상', '#손석구', '#범죄도시2', '#팔색조', '#연기파배우', '#너드미']",#손석구배우 #대세배우 #멜로가체질 #나의해방일지 #구씨 #강해상 #손석구 #범죄도시2 #팔색조#연기파배우 #너드미
23,2022-06-06,좋아요 4개,조회 0회,"['#라멘', '#흰여울문화마을', '#송도바닷가', '#범죄도시2', '#영화']",#라멘 #흰여울문화마을 #송도바닷가 #범죄도시2 #영화
